author,author_href,description,number_of_user_opinions,number_of_user_ratings,number_of_discussions,Kategoria,Format,Cykl,Tytuł oryginału,Wydawnictwo,Data wydania,Data 1. wyd. pol.,Data 1. wydania,Liczba stron,Czas czytania,Język,ISBN,Tłumacz,Ekranizacje,number_of_people_read,number_of_people_has,number_of_people_favorite,number_of_people_wants_to_read,number_of_people_wants_as_gift,number_of_people_currently_read,tags,rating_10,rating_9,rating_8,rating_7,rating_6,rating_5,rating_4,rating_3,rating_2,rating_1,url,Inne,author1,author_href1,Seria,author2,author_href2,author3,author_href3,author4,author_href4,author5,author_href5,author6,author_href6,author7,author_href7,author8,author_href8,author9,author_href9,author10,author_href10,author11,author_href11,author12,author_href12,author13,author_href13,author14,author_href14,author15,author_href15,author16,author_href16,author17,author_href17,author18,author_href18,author19,author_href19,author20,author_href20,author21,author_href21,author22,author_href22,author23,author_href23,author24,author_href24,author25,author_href25,author26,author_href26,author27,author_href27
Henryk Sienkiewicz,https://lubimyczytac.pl/autor/2062/henryk-sienkiewicz," Powieść historyczna wydana po raz pierwszy w roku 1896. Motywem przewodnim są narodziny chrześcijaństwa i zmierzch imperium rzymskiego za czasów Nerona. Na tle wydarzeń historycznych związanych z prześladowaniem chrześcijan rozgrywa się wątek miłosny Ligii i Winicjusza – chrześcijanki z barbarzyńskiego plemienia Ligów z patrycjuszem rzymskim. Sukces, jaki odniosła powieść, był niespotykany i utorował Sienkiewiczowi drogę do Literackiej Nagrody Nobla, którą otrzymał w 1905 roku za całokształt twórczości. Do dziś dzieło przełożono na prawie 60 języków, a liczbę sprzedanych egzemplarzy liczy się w milionach. ",924,18371,0,klasyka,papier,,Quo vadis,Hachette Polska,2024-09-18,1954-01-01,1999-01-01,480.0,8  godz. 0 min.,polski,9788328254893,,Quo vadis (2001),28171,6156.0,1054.0,3137,,253.0,,1814,2495,3180,5420,2518,1602,504,519,133,186,https://lubimyczytac.pl/ksiazka/5131372/quo-vadis,,,,Biblioteka Polska Hachette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George R.R. Martin,https://lubimyczytac.pl/autor/19287/george-r-r-martin," Na wschodzie Daenerys Targaryen, ostatnia z rodu Targaryenów, włada przy pomocy swych trzech smoków miastem zbudowanym na marzeniach i pyle. Daenerys ma jednak tysiące wrogów i wielu z nich postanowiło ją odnaleźć...￼Tyrion Lannister, uciekłszy z Westeros, gdy wyznaczono nagrodę za jego głowę, również zmierza do Daenerys. Jego nowi towarzysze podróży nie są jednak obdartą bandą wyrzutków, jaką mogliby się wydawać, a jeden z nich może na zawsze pozbawić Daenerys praw do westeroskiego tronu...￼Północy broni gigantyczny Mur z lodu i kamienia. Tam właśnie przed Jonem Snow, dziewięćset dziewięćdziesiątym ósmym lordem dowódcą Nocnej Straży, stanie najpoważniejsze jak dotąd wyzwanie. Ma bowiem potężnych wrogów nie tylko w samej Straży, lecz również poza nią, pośród lodowych istot mieszkających za Murem...Wszędzie narastają gwałtowne konflikty, w których uczestniczą banici i kapłani, żołnierze i zmiennokształtni, szlachetnie urodzeni i niewolnicy. W czasie narastających niepokojów fale przeznaczenia nieuchronnie prowadzą bohaterów do największego ze wszystkich tańców... ",488,17052,0,"fantasy, science fiction",papier,Pieśń Lodu i Ognia (tom 5.1),A Dance with Dragons,Zysk i S-ka,2016-04-25,2011-11-22,2011-01-01,632.0,10  godz. 32 min.,polski,9788377858851,Michał Jakuszewski,,24005,5426.0,1554.0,7755,415.0,358.0,Michał Jakuszewski&gra o tron&stark,2550,3367,5604,3679,1403,314,77,40,12,6,https://lubimyczytac.pl/ksiazka/301205/taniec-ze-smokami-czesc-1,#0 Top 100 4 nagrody,,,Pieśń lodu i ognia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jakub Żulczyk,https://lubimyczytac.pl/autor/16349/jakub-zulczyk," Zagadkowa, dynamiczna miejska odyseja, pełna zaskakujących zwrotów akcji i splotów wydarzeń, skłaniająca do zastanowienia, co znaczą w dzisiejszych czasach podstawowe wartości: miłość, przyjaźń czy wierność. A może raczej… ile kosztują? Zawsze chodzi wyłącznie o pieniądze. O nic innego. Ktoś może powiedzieć ci, że to niska pobudka. To nieprawda - oświadcza bohater najnowszej powieści Jakuba Żulczyka. Ten młody człowiek przyjechał z Olsztyna do Warszawy, gdzie prawie skończył ASP. By uniknąć powielania egzystencjalnych schematów swoich rówieśników – przyszłych meneli, ludzi mogących w najlepszym razie otrzeć się o warstwy klasy średniej, niepoprawnych idealistów – dokonał życiowego wyboru według własnych upodobań: Zawsze lubiłem ważyć i liczyć. Waży więc narkotyki i liczy pieniądze jako handlarz kokainy. W dzień śpi, w nocy odbywa samochodowy rajd po mieście, rozprowadzając towar, ale także bezwzględnie i brutalnie ściągając od dłużników pieniądze, przy pomocy odpowiednich ludzi. Jego klientów, zamożnych przedstawicieli elity finansowej i kulturalnej, łączy przekonanie, że: Kokaina i alkohol kochają cię najbardziej na świecie. Bezwarunkowo. Jak matka, jak Jezus Chrystus, zmieniają nocne w miasto w panopticum ludzkich słabości i żądzy. Jakub Żulczyk w poruszający sposób ukazuje współczesną rzeczywistość, zdeformowaną do tego stopnia, że handlarz narkotyków staje się równie niezbędny jak strażak czy lekarz; jest nocnym dostawcą paliwa dla tych, którzy chcą – albo muszą – utrzymać się na powierzchni. ",1763,16043,0,"kryminał, sensacja, thriller",papier,Ślepnąc od świateł (tom 1),,Świat Książki,2023-10-16,2014-10-22,2021-04-07,520.0,8  godz. 40 min.,polski,9788382891980,,,19620,4079.0,527.0,9107,,691.0,alkohol&celebryci&elita kulturalna&nałogi&narkotyki&Polska&powieść obyczajowa&półświatek&przemoc&rywalizacja&stres&ucieczka od życia&współczesność&Jakub Żulczyk,1015,2132,4760,4301,2197,869,305,266,98,100,https://lubimyczytac.pl/ksiazka/5085868/slepnac-od-swiatel,#0 Top 100 1 nagroda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrzej Sapkowski,https://lubimyczytac.pl/autor/3291/andrzej-sapkowski," Nowy wspaniały cykl - nowy wspaniały świat!""Narrenturm"" to pierwszy tom fantastyczno-historycznej trylogii, której akcja rozgrywa się na Śląsku w początkach piętnastego wieku. Autor kultowej sagi o wiedźminie udowodnił, że równie dobrze czuje się w odmiennej konwencji literackiej. Głęboka erudycja i dbałość o szczegół w połączeniu z mistrzostwem pióra sprawiają, że Śląsk z czasów wojen husyckich ożywa na kartach książki. Główny bohater, Reinmar z Bielawy, zwany Reynevanem, to postać całkowicie odmienna od wiedźmina: uczony zielarz i medyk, młodzieniec nieco naiwny, ale niezwykle sympatyczny. Reinmar nieustannie popada w kłopoty z winy swego romantycznego usposobienia. Zakochany w pięknej Adeli, żonie rycerza Gelfrada de Stercza, musiał ratować się ucieczką, kiedy bracia rycerza przyłapali go in flagranti. Tak rozpoczyna się epicka podróż Reynevana przez ziemie dawnego Śląska szarpanego wojną religijną z husytyzmem . W wędrówce tej Reynevan odwiedza miejsca, które nadal można znaleźć na mapach, spotyka autentyczne postacie historyczne, m. in. Zawiszę Czarnego (którego autor odbrązowił z właściwym sobie przewrotnym humorem),uczestniczy w prawdziwych historycznych wydarzeniach. Ścigany nie tylko przez żądnych zemsty braci Sterczów, ale też przez świętą Inkwizycję, Reynevan trafia w końcu do tytułowego Narrenturmu, czyli Wieży Głupców, średniowiecznego azylu dla obłąkanych czy po prostu myślących inaczej. „Pacjenci” tej instytucji to niezrównana galeria barwnych typów: spotykamy tu m. in. młodego Kopernika , głoszącego pochwałę systemu heliocentrycznego.Typowe dla Sapkowskiego mistrzowskie połączenie powagi i groteski, wartka akcja, malownicze tło i niezrównane dialogi sprawiają, że książkę czyta się jednym tchem. Fantastyczne akcenty wplecione są w tkankę narracji tak umiejętnie, że wydają się integralną częścią historycznej rzeczywistości. Czytelnik obznajomiony z gatunkiem fantastyki znajdzie tutaj również pastisze najgłośniejszych dokonań ostatnich lat, m. in. Harry’ego Pottera. ",858,15364,0,"fantasy, science fiction",papier,Trylogia husycka (tom 1),,superNOWA,2020-01-01,2002-01-01,,639.0,10  godz. 39 min.,polski,9788375781397,,,20223,3862.0,1028.0,5047,202.0,401.0,Nagroda Zajdla - zwycięzca&Andrzej Sapkowski&Trylogia Husycka&wojny husyckie&Śląsk&fantasy,1582,3009,4347,3926,1398,686,169,187,34,26,https://lubimyczytac.pl/ksiazka/4971661/narrenturm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jarosław Grzędowicz,https://lubimyczytac.pl/autor/3245/jaroslaw-grzedowicz," Wydanie w twardych okładkach.Władza… Wystarczyło zaledwie czworo obdarzonych jej pełnią Ziemian, by z planety Midgaard uczynić istne piekło.Vuko Drakkainen podąża śladami ich przerażającego szaleństwa. Z misją: zlikwidować! Odesłać na Ziemię, lub pogrzebać na bagnach. Problem w tym, że oni stali się… Bogami.Filar, cesarski syn, mimo młodego wieku zaznał już losu władcy i wygnańca, wodza i niewolnika. Podąża ku przeznaczeniu, szukając ratunku dla swego skazanego na zagładę świata.Nafaszerowany magią, naszpikowany akcją. Nie spoczniesz, dopóki nie skończysz.""To irytujące, kiedy coś odrywa cię od lektury dobrej książki, prawda? Zawsze, kiedy musiałem przerywać lekturę ""Pana Lodowego Ogrodu"", byłem wściekły. To świetna powieść.""Tomasz Kołodziejczak, autor ""Skazy na niebie""""Trzeci tom cyklu to prawdziwa uczta. Drakkar niesie Vuko i jego drużynę wnieznane. Gdzieś tam daleko czeka Lodowy Ogród, a w nim, niczym pająk wsieci, władca, któremu korona wyrasta wprost z czaszki...""Andrzej Pilipiuk""Grzędowicz to pisarz wysokiej próby i zdecydowanie górnej półki. Jedna z tych osób, dzięki której - tak jak dzięki Sapkowskiemu czy Dukajowi - proza fantastyczna przestaje być literaturą niszową i dla fanów. ""Pan LodowegoOgrodu"" to książka po prostu znakomita i nie ma się co dalej rozwodzić nad tematem.""Onet.pl ",686,15072,0,"fantasy, science fiction",papier,Pan Lodowego Ogrodu (tom 3),,Fabryka Słów,2021-10-08,2009-11-27,2011-02-14,484.0,8  godz. 4 min.,polski,9788379646661,,,19641,4539.0,1201.0,4144,148.0,230.0,,1984,3272,5312,3154,922,288,68,46,15,11,https://lubimyczytac.pl/ksiazka/4974295/pan-lodowego-ogrodu---ksiega-iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan Brzechwa,https://lubimyczytac.pl/autor/6418/jan-brzechwa," Nazywam się Adam Niezgódka, mam dwanaście lat i już od pół roku jestem w Akademii pana Kleksa. W domu nic mi się nigdy nie udawało. Zawsze spóźniałem się do szkoły, nigdy nie zdążyłem odrobić lekcji i miałem gliniane ręce. Wszystko upuszczałem na podłogę i tłukłem, a szklanki i spodki na sam mój widok pękały i rozlatywały się w drobne kawałki, zanim jeszcze zdążyłem ich dotknąć. Nie znosiłem krupniku i marchewki, a właśnie codziennie dostawałem na obiad krupnik i marchewkę, bo to pożywne i zdrowe. Kiedy na domiar złego oblałem atramentem parę spodni, obrus i nowy kostium mamy, rodzice postanowili wysłać mnie na naukę i wychowanie do papa Kleksa. ",825,14088,0,literatura dziecięca,papier,Pan Kleks (tom 1),,Greg,2013-09-05,1964-01-01,,136.0,2  godz. 16 min.,polski,9788375174489,,,23899,2535.0,420.0,655,,,lektura szkolna&chłopiec&dziecko&akademia&pan kleks&szkoła&magia,717,1179,1690,3990,2841,2116,583,635,109,228,https://lubimyczytac.pl/ksiazka/200012/akademia-pana-kleksa,,,,Kolorowa Klasyka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christopher Paolini,https://lubimyczytac.pl/autor/3217/christopher-paolini," Do niedawna Eragon, Smoczy jeździec, był biednym synem farmera, a jego smoczyca Saphira jedynie błękitnym kamieniem w lesie. Długie miesiące treningów i bitew przyniosły zwycięstwa i nadzieję, ale także wielkie straty. Mimo to najważniejsza bitwa ciągle przed nimi: czeka ich ostateczna rozgrywka z Galbatoriksem.Kiedy to już nastąpi, będą musieli być wystarczająco silni, by go pokonać. Bo jeśli nie oni, nikt nie podoła temu zadaniu. Nie będzie też drugiej szansy.Smok i jego jeździec zaszli dalej, niż ktokolwiek mógł przypuszczać, ale czy uda się im obalić złego króla i przywrócić sprawiedliwość w Alagaësii. I jeśli nawet, to za jaką cenę?Nadzwyczajne uwieńczenie bestsellerowego cyklu Dziedzictwo. ",563,12731,0,"fantasy, science fiction",papier,Dziedzictwo (tom 4),Inheritance,Mag,2019-10-16,2011-11-09,2011-11-08,816.0,13  godz. 36 min.,polski,9788366409033,Paulina Braiter,,19177,5657.0,1408.0,5684,331.0,160.0,Fantastyka&dziecięce bestsellery&literatura dla dzieci i młodzieży&fantasy&science fiction&s-f,1509,1334,2528,3423,2335,924,346,198,85,49,https://lubimyczytac.pl/ksiazka/4896958/dziedzictwo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tess Gerritsen,https://lubimyczytac.pl/autor/19176/tess-gerritsen," W Bostonie grasuje morderca biorący na cel samotne kobiety. Prasa nazwała go Chirurgiem, ponieważ zanim odbierze życie swoim ofiarom, z przerażającą precyzją usuwa im macice. Bez znieczulenia.Podobna seria morderstw miała miejsce dwa lata wcześniej. Problem w tym, że sprawca został wtedy zastrzelony przez doktor Catherine Cordell, której jako jedynej udało się ujść z życiem. Teraz znów jest na celowniku mordercy... Jej sprzymierzeńcami są detektywi Thomas Moore i Jane Rizzoli. Ale nawet oni mogą nie ochronić doktor Cordell przed genialnym myśliwym ze skalpelem... ",1180,12477,0,"kryminał, sensacja, thriller",papier,Rizzoli/Isles (tom 1),The Surgeon,Albatros,2022-08-10,2002-09-01,2002-07-30,384.0,6  godz. 24 min.,polski,8373119973,Jerzy Żebrowski,,16541,2325.0,621.0,6232,88.0,164.0,thriller medyczny,1290,1754,3898,3741,1311,344,81,45,10,3,https://lubimyczytac.pl/ksiazka/5028785/chirurg,,,,Anatomia zbrodni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Brown,https://lubimyczytac.pl/autor/19390/dan-brown," Najnowszy satelita NASA wykrywa niezwykły obiekt w lodowcach Arktyki, meteoryt ze śladami życia pozaziemskiego. Biały Dom przygotowuje się do poinformowania o odkryciu światowej opinii publicznej. Stanowiłoby ono sensację na miarę lądowania człowieka na Księżycu i zapewniło urzędującemu prezydentowi USA reelekcję. W celu zbadania meteorytu i stwierdzenia jego autentyczności na Arktykę udaje się grupa naukowców. Do grupy na osobiste polecenie prezydenta dołącza Rachel Sexton, analityk wywiadu, by przygotować opis znaleziska dla Białego Domu. Towarzyszy jej Michael Tolland, światowej klasy oceanograf. Wkrótce okazuje się, że rzekome odkrycie to precyzyjnie przygotowana mistyfikacja. Człowiek, który za nią stoi, zrobi wszystko, by prawda nie ujrzała światła dziennego. Rachel i Michael muszą uciekać, tropieni przez bezlitosnych komandosów-zabójców. Próbują ostrzec prezydenta i ustalić, kto kryje się za misterną intrygą, zwodniczym punktem na kreślonej przez nich mapie spisku... ",488,11034,0,"kryminał, sensacja, thriller",papier,,Deception Point,Sonia Draga,2023-02-15,2005-01-01,2001-01-01,584.0,9  godz. 44 min.,polski,9788366661646,"Cezary Frąc, Maria Gębicka-Frąc",,15963,2848.0,308.0,3312,75.0,142.0,,572,833,1703,3524,2514,1238,262,291,45,52,https://lubimyczytac.pl/ksiazka/5048489/zwodniczy-punkt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarah J. Maas,https://lubimyczytac.pl/autor/74122/sarah-j-maas," Między światłem a ciemnością rozgrywa się walka, w której stawką są losy całego świata. A w magicznym świecie Fae przyjaciele potrafią być bardziej niebezpieczni niż wrogowie…Po tym, jak Feyra ocaliła Prythian, mogłoby się wydawać, że baśń dobiega końca. Dziewczyna, bezpieczna i otoczona luksusem, przygotowuje się do poślubienia ukochanego Tamlina. W Przed nią długie i szczęśliwe życie… Tylko że Feyra nigdy nie chciała być księżniczką z bajki. W snach wciąż powracają do niej wymyślne tortury Amaranthy i zbrodnia, którą popełniła, by się od nich uwolnić.W jej nowym nieśmiertelnym ciele drzemią moce, których dziewczyna nie umie opanować. W dodatku o spłatę swojego długu upomina się największy wróg Tamlina – Rhysand, Książę Dworu Nocy. Władca ciemności chce ją wykorzystać do swoich celów. Chyba że to nie Rhysand jest tym, kogo Feyra powinna się obawiać... Na Dworze Wiosny również bowiem nie jest bezpiecznie, a sam Tamlin ma przed ukochaną coraz więcej tajemnic. Czy rzeczywiście tylko po to, by ją chronić? Nadciąga widmo wojny tak groźnej jak żadna dotąd, a Feyra musi zdecydować, komu może ufać.Jeszcze mroczniejsza i bardziej zmysłowa odsłona bestsellerowej serii „Dwór cierni i róż”! Nie zaśniesz, nim nie odkryjesz wszystkich sekretów! ",1154,11094,0,romantasy,papier,Dwór cierni i róż (tom 2),A Court of Mist and Fury,Uroboros,2024-04-24,2017-01-05,2016-05-03,768.0,12  godz. 48 min.,polski,9788383196060,Jakub Radzimiński,,13955,3009.0,1723.0,3924,146.0,276.0,,3746,2785,2400,1221,521,214,88,48,44,27,https://lubimyczytac.pl/ksiazka/5109815/dwor-mgiel-i-furii,#0 Top 100 1 nagroda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrzej Sapkowski,https://lubimyczytac.pl/autor/3291/andrzej-sapkowski," Reynevan, główny bohater tomów ""Narrenturm"" i ""Boży bojownicy"", nadal ma kłopoty, ciągle ktoś dybie na jego życie bądź przedstawia mu propozycję nie do odrzucenia. Prześladują go prozaiczni agenci wywiadu oraz siły nieczyste, wcale nie ukrywające swej diabelskiej proweniencji. Ale Reynevan żyje przecież w okrutnych i niebezpiecznych czasach. Na Śląsku i w Czechach, gdy przez ziemie te przetaczały się krucjaty i husyckie wyprawy odwetowe. Gdy nie znano słowa: ""Litość"" i z imieniem Boga na ustach wyrzynano tysiące niewinnych. Reinmar wierzy w religijną odnowę, staje po stronie zwolenników Husa, nawet gdy ci dokonują niewiarygodnych zbrodni. Cel uświęca środki. Reynevan chce pomścić śmierć brata. On, medyk i zielarz, idealista i bezinteresowny obrońca chorych i cierpiących, musi wcielić się w rolę husyckiego szpiega, dywersanta, zabójcy i bezlitosnego mściciela. Rozdarty pomiędzy obowiązkiem a głosem serca, stawia wszystko na jedną kartę, byle wyrwać ukochaną z rąk wrogów. On i Jutta to postacie niczym ze średniowiecznego romansu o Alkasynie i Nikoletcie.""Lux perpetua"" godnie wieńczy dzieło mistrza. Jest napisana z rozmachem, z niezwykłą dbałością o historyczny szczegół, z charakterystycznym dla Sapkowskiego humorem i wyczuciem językowym. Wojenne okrucieństwo kontrastuje ze wzruszającymi scenami miłosnymi, losy bohatera splecione z wątkiem wielkiej polityki zmierzają do nieuchronnego, a jednak zaskakującego finału. ",440,10766,0,"fantasy, science fiction",papier,Trylogia husycka (tom 3),,superNOWA,2020-01-01,2006-01-01,,606.0,10  godz. 6 min.,polski,9788375781410,,,14557,2997.0,723.0,3515,171.0,112.0,Nagroda Zajdla - nominacja (powieść)&Andrzej Sapkowski&Trylogia Husycka&wojny husyckie&Śląsk,1103,1982,3102,2891,1045,444,81,96,10,12,https://lubimyczytac.pl/ksiazka/4970632/lux-perpetua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Twain,https://lubimyczytac.pl/autor/6103/mark-twain," Klasyka literatury młodzieżowej w nowym wydaniu.Poznajcie Toma Sawyera, największego urwisa w historii Ameryki!Tom jest sierotą z miasteczka nad rzeką Mississippi, gdzie mieszka wraz z przyrodnim bratem i ciotką Polly, która ma z nim prawdziwe urwanie głowy. Chłopiec ciągle wpada na jakiś pomysł, który wywraca do góry nogami życie najbliższej okolicy. Wyjadanie konfitur, wagary, ucieczki, włóczęgi po cmentarzach, pirackie przygody, poszukiwanie skarbu w podejrzanym towarzystwie, bójki i tym podobne ekscesy wpisują się na długą listę „przestępstw” głównego bohatera powieści Marka Twaina.Przeżyjcie wraz z tym chłopcem o dobrym sercu i wyjątkowo niespokojnej naturze mnóstwo wspaniałych, czasem niebezpiecznych przygód, w tym także tę największą, która czeka i Was – dorastanie… ",463,9276,0,literatura młodzieżowa,papier,Przygody Tomka Sawyera (tom 1),The adventures of Tom Sawyer,Kropka,2022-11-16,1949-01-01,1992-01-01,272.0,4  godz. 32 min.,polski,9788367406871,Anna Bańkowska,Przygody Tomka Sawyera (1938),15929,2228.0,281.0,1369,,,,334,484,1071,2766,2263,1421,362,358,83,134,https://lubimyczytac.pl/ksiazka/5046886/przygody-toma-sawyera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frank Herbert,https://lubimyczytac.pl/autor/3481/frank-herbert," Fremeni pokonali Harkonnenów i imperialnych sardaukarów, a Paul poślubił księżniczkę Irulanę i zasiadł na tronie Imperium. Pustynna Arrakis, zwana Diuną, jest stolicą wszechświata. Tymczasem stare ośrodki władzy — Bene Gesserit i Gildia Kosmiczna — z pomocą fremeńskiego kapłaństwa i Bene Tleilax zawiązują spisek przeciw nowemu Imperatorowi. Czczony niczym bóg, Paul Muad’Dib wpada w pułapkę, choć zna każdą chwilę swojej przyszłości, każdy swój ruch, każdą decyzję i — przede wszystkim — swój straszliwy koniec… ",567,9226,0,"fantasy, science fiction",papier,Kroniki Diuny (tom 2),Dune Messiah,Rebis,2024-01-01,1986-01-01,1972-01-01,299.0,4  godz. 59 min.,polski,9788381884112,Marek Marszał,,12047,2823.0,336.0,3646,,309.0,Diuna&Arrakis&science fiction&Frank Herbert&Kroniki Diuny&Nebula&Hugo,596,1119,2377,3080,1370,474,116,68,15,11,https://lubimyczytac.pl/ksiazka/5114513/mesjasz-diuny,,,,Diuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Kay,https://lubimyczytac.pl/autor/157294/adam-kay," Witaj w świecie 97-godzinnych tygodni pracy. W świecie decyzji o życiu i śmierci. W świecie nieustannego tsunami płynów ustrojowych. W świecie, w którym zarabiasz dziennie mniej niż szpitalny parkometr. Pożegnaj się z przyjaciółmi i bliskimi związkami…Witaj w świecie lekarza stażysty.Spisana potajemnie po niekończących się dyżurach, bezsennych nocach i pracujących weekendach książka komika i byłego stażysty Adama Kaya to dotkliwie szczery opis czasu, który spędził na linii frontu brytyjskiej służby zdrowia. Na zmianę zabawne, przerażające i wzruszające zapiski omawiają wszystko, co chcieliście wiedzieć – i sporo rzeczy, o których wolelibyście nie wiedzieć – o życiu lekarzy na oddziale i poza nim. Uwaga, lektura może pozostawić blizny. ",1157,9236,0,"biografia, autobiografia, pamiętnik",papier,,This is Going to Hurt. Secret Diaries of a Junior Doctor,Insignis,2022-06-15,2018-06-06,2017-09-07,326.0,5  godz. 26 min.,polski,9788367323031,Katarzyna Dudzik,,11314,1618.0,258.0,4413,,259.0,literatura faktu&służba zdrowia&szpital,782,1345,3192,2497,958,286,101,42,25,8,https://lubimyczytac.pl/ksiazka/5021898/bedzie-bolalo-sekretny-dziennik-mlodego-lekarza,#0 Top 100 1 nagroda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarah J. Maas,https://lubimyczytac.pl/autor/74122/sarah-j-maas," Feyra powraca do Dworu Wiosny, zdeterminowana by zdobyć informacje o działaniach Tamlina oraz potężnego, złowrogiego króla Hybernii, który grozi, że rozgromi cały Prythian. Jednak by to osiągnąć, musi najpierw rozegrać śmiercionośną, przewrotną grę… Jeden poślizg może zniszczyć nie tylko Feyrę, ale też cały jej świat.W obliczu wojny, która ogarnia wszystkich, Feyra znów musi decydować, komu może ufać i szukać sojuszników w najmniej oczekiwanych miejscach. Niebawem dwie armie zetrą się w krwawej, nierównej walce o władzę. ",786,9117,0,romantasy,papier,Dwór cierni i róż (tom 3),A Court of Wings and Ruin,Uroboros,2024-04-24,2017-10-18,2017-05-02,848.0,14  godz. 8 min.,polski,9788383196077,Jakub Radzimiński,,11517,2472.0,1093.0,3625,131.0,314.0,fantastyka&literatura amerykańska&magia&nastolatka&niebezpieczeństwo&nienawiść&uczucie&walka dobra ze złem&walka o przetrwanie&walka o władzę&zemsta,2303,2143,2287,1393,573,222,84,67,22,23,https://lubimyczytac.pl/ksiazka/5109941/dwor-skrzydel-i-zguby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
